system,noise,sparse_factor,comparator,n_pairs,n_seeds,support_f1_delta_mean,support_f1_delta_seed_se,support_f1_edmd_wins,support_f1_ties,support_f1_seed_mean_wins,coef_error_delta_mean,coef_error_delta_seed_se,coef_error_edmd_wins,coef_error_ties,coef_error_seed_mean_wins,practical_score_delta_mean,practical_score_delta_seed_se,practical_score_edmd_wins,practical_score_ties,practical_score_seed_mean_wins
vanderpol_mu2,0.1,64,tv_diff,5,5,0.02857142857142858,0.02857142857142858,1,4,1,-0.30204599571533397,0.02820462765662848,5,0,5,0.21822689585996563,0.03368350830397663,5,0,5
vanderpol_mu2,0.2,64,tv_diff,5,5,-0.19523809523809527,0.0958840527653267,0,1,0,0.003799321262953148,0.12770641991645143,3,0,3,-0.10203644848812901,0.09984601626174425,2,0,2
vanderpol_mu2,0.5,64,tv_diff,5,5,-0.3285300207039338,0.0465321267937323,0,0,0,0.1692800078936054,0.06621653328939771,1,0,1,-0.19974936381785519,0.02737614989546503,0,0,0
burgers,0.05,8,tv_diff,5,5,0.0,0.0,0,5,0,0.051484306537890934,0.009018033242274511,0,0,0,-0.021975984693227237,0.0036584555898951632,0,0,0
burgers,0.1,8,tv_diff,5,5,0.0,0.0,0,5,0,0.29036855340750034,0.02667495638574751,0,0,0,-0.08962018291419996,0.006408795962922815,0,0,0
burgers,0.2,8,tv_diff,5,5,-0.06666666666666665,0.04082482904638629,0,3,0,0.1957079621185037,0.01153910643763965,0,0,0,-0.08340159535749983,0.02389091873819888,0,0,0
burgers,0.5,8,tv_diff,5,5,-0.15333333333333332,0.05263430792145337,0,1,0,0.1132076863465998,0.03089714244000793,0,0,0,-0.09590033882374645,0.030568738559621587,0,0,0
burgers,0.05,32,tv_diff,5,5,0.0,0.0,0,5,0,0.007933787918093104,0.026657931375601192,2,0,2,-0.002524587197201167,0.008958205106891031,2,0,2
burgers,0.1,32,tv_diff,5,5,-0.05333333333333332,0.053333333333333316,0,4,0,0.19745937885028625,0.10226978382358248,2,0,2,-0.07015922625499986,0.04436485536578532,2,0,2
burgers,0.2,32,tv_diff,5,5,-0.1311111111111111,0.04679875486367262,0,1,0,0.09915488309769019,0.02536276255916438,0,0,0,-0.08657118583165416,0.027011789751009072,0,0,0
burgers,0.5,32,tv_diff,5,5,-0.019999999999999997,0.019999999999999997,0,4,0,0.05127201322160331,0.009745017480650904,0,0,0,-0.015514004509609358,0.010070070228734773,0,0,0
fisher_kpp,0.05,8,tv_diff,5,5,0.0,0.0,0,5,0,0.01313479106645426,0.0028617486213748946,0,0,0,-0.009901177829839769,0.0021361145353841356,0,0,0
fisher_kpp,0.1,8,tv_diff,5,5,-0.09142857142857146,0.05598833697790123,0,3,0,0.26383304518184497,0.16516621335701853,0,0,0,-0.17688628669404485,0.10470485393185941,0,0,0
