system,method,method_label,sparse_factor,obs_dt,noise,seed,upsample,pod_rank,rank_mode,rank_cv_error,rank_cv_folds,rank_grid,spline_alpha,spline_cv_error,spline_cv_folds,support_f1,coef_error,practical_score,threshold,status,gp_kernel,gp_cv_error,gp_cv_folds,gp_cv_spatial_points
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.1,5,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.1748811666225968,4,0.6666666666666666,0.234000984982169,0.5402480830890908,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.1,6,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.7107834578190138,0.3896850087132384,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.1,6,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.6295256947645462,0.4091170018420573,0.3,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.1,6,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.1738040528474662,4,0.6666666666666666,0.2247059798867498,0.5443483396139815,0.1,ok,,,,
burgers,baseline,Baseline,4,0.02,0.1,7,1,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.7773309497094291,0.3750942764911949,0.1,ok,,,,
burgers,linear_interp,Linear interpolation,4,0.02,0.1,7,5,0,cv,,0,"1,2,3,4,6,8",,,0,0.6666666666666666,0.705539744572639,0.3908831024243969,0.1,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,4,0.02,0.1,7,5,0,cv,,0,"1,2,3,4,6,8",10.0,0.1759896667277372,4,0.6666666666666666,0.2251466573534449,0.5441525409756218,0.1,ok,,,,
burgers,baseline,Baseline,8,0.04,0.0,0,1,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,0.0023701932572832,0.997635411274969,0.0003,ok,,,,
burgers,linear_interp,Linear interpolation,8,0.04,0.0,0,5,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,9.506048955920418e-05,0.9999049485460788,0.0003,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.0,0,5,0,cv,,0,"1,2,3,4,6,8",0.0,4.394904099393516e-09,4,1.0,9.493796283191038e-05,0.9999050710495292,1e-05,ok,,,,
burgers,baseline,Baseline,8,0.04,0.0,1,1,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,0.0023701932572832,0.997635411274969,0.0003,ok,,,,
burgers,linear_interp,Linear interpolation,8,0.04,0.0,1,5,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,9.506048955920418e-05,0.9999049485460788,0.0003,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.0,1,5,0,cv,,0,"1,2,3,4,6,8",0.0,4.394904099393516e-09,4,1.0,9.493796283191038e-05,0.9999050710495292,1e-05,ok,,,,
burgers,baseline,Baseline,8,0.04,0.0,2,1,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,0.0023701932572832,0.997635411274969,0.0003,ok,,,,
burgers,linear_interp,Linear interpolation,8,0.04,0.0,2,5,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,9.506048955920418e-05,0.9999049485460788,0.0003,ok,,,,
burgers,smoothing_spline_cv,Tuned smoothing spline,8,0.04,0.0,2,5,0,cv,,0,"1,2,3,4,6,8",0.0,4.394904099393516e-09,4,1.0,9.493796283191038e-05,0.9999050710495292,1e-05,ok,,,,
burgers,baseline,Baseline,8,0.04,0.0,3,1,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,0.0023701932572832,0.997635411274969,0.0003,ok,,,,
burgers,linear_interp,Linear interpolation,8,0.04,0.0,3,5,0,cv,,0,"1,2,3,4,6,8",,,0,1.0,9.506048955920418e-05,0.9999049485460788,0.0003,ok,,,,
