setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_rbf,residual_corrected,16,64,0.1,0.4444444444444444,2.2512873132072055,0.13669799117384857,0.1,ok
ODE,lorenz63,edmd_rbf,two_sided,16,64,0.1,0.5263157894736842,1.6076065254452785,0.2018386533159215,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,17,64,0.1,0.6666666666666666,1.022606041168625,0.3296077699251203,0.3,ok
ODE,lorenz63,edmd_poly3,local_reset,17,64,0.1,0.5217391304347826,1.6323643555357477,0.1982017152517614,0.1,ok
ODE,lorenz63,edmd_poly3,global_rollout,17,64,0.1,0.5,8.02597489722512,0.05539567810605327,1.0,ok
ODE,lorenz63,edmd_poly3,residual_corrected,17,64,0.1,0.5384615384615384,3.251016541832541,0.12666653567746805,0.3,ok
ODE,lorenz63,edmd_poly3,two_sided,17,64,0.1,0.48,4.838866083726277,0.08220774258512728,0.3,ok
ODE,lorenz63,edmd_rbf,baseline,17,64,0.1,0.6666666666666666,1.022606041168625,0.3296077699251203,0.3,ok
ODE,lorenz63,edmd_rbf,local_reset,17,64,0.1,0.47619047619047616,1.7530337097288797,0.17296935904114727,0.3,ok
ODE,lorenz63,edmd_rbf,global_rollout,17,64,0.1,0.26666666666666666,1.0382107149548172,0.13083370856117693,1.0,ok
ODE,lorenz63,edmd_rbf,residual_corrected,17,64,0.1,0.47058823529411764,1.5418494219864831,0.18513615764318084,1.0,ok
ODE,lorenz63,edmd_rbf,two_sided,17,64,0.1,0.5714285714285714,1.0866189892392488,0.2738538153709154,1.0,ok
ODE,lorenz63,edmd_poly3,baseline,18,64,0.1,0.4,1.050400811033833,0.1950838089057895,0.3,ok
ODE,lorenz63,edmd_poly3,local_reset,18,64,0.1,0.5555555555555556,1.1279885050415746,0.2610707502598571,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,18,64,0.1,0.5882352941176471,1.5121933489160553,0.23415207845027336,1.0,ok
